"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ZWCDPC1","198004","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198005","6","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198006","26","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198007","200","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198008","179","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198009","27","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198010","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198011","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198012","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198013","438","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198101","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198102","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198103","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198104","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198105","7","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198106","71","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198107","190","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198108","112","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198109","9","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198110","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198111","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198112","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198113","391","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198201","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198202","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198203","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198204","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198205","7","1","Cooling Degree-Days, New England","Number"
