"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLNFPUS","198012","209.382","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198013","2612.16","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198101","203.43","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198102","192.709","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198103","205.924","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198104","180.984","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198105","158.538","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198106","166.02","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198107","202.834","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198108","202.276","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198109","198.777","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198110","192.002","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198111","187.498","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198112","180.239","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198113","2271.193","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198201","165.342","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198202","161.473","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198203","155.259","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198204","137.959","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198205","134.759","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198206","129.513","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198207","116.119","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198208","113.775","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198209","108.789","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198210","102.576","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198211","100.195","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198212","96.251","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198213","1522.011","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198301","103.712","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198302","101.094","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198303","94.642","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198304","118.201","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198305","116.174","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198306","100.799","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198307","120.524","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198308","119.897","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198309","117.833","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198310","121.925","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198311","122.958","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198312","127.603","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198313","1365.363","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198401","141.85","1","Coal Non-Combustion Consumption","Thousand Short Tons"
